"provincia";"tipo_veicolo";"femmine";"maschi";"data_riferimento"
"ASTI";"AUTOVEICOLO";"42552";"65040";"2020-12-31"
"NOVARA";"AUTOVEICOLO";"89290";"129322";"2020-12-31"
"VERBANO-CUSIO-OSSOLA";"AUTOVEICOLO";"39088";"56526";"2020-12-31"
"VERCELLI";"AUTOVEICOLO";"42456";"61766";"2020-12-31"
"TORINO";"MOTOVEICOLO";"26904";"196044";"2020-12-31"
"TORINO";"AUTOVEICOLO";"498049";"782202";"2020-12-31"
"BIELLA";"AUTOVEICOLO";"50333";"65433";"2020-12-31"
"CUNEO";"AUTOVEICOLO";"144026";"220545";"2020-12-31"
"ALESSANDRIA";"MOTOVEICOLO";"6856";"46554";"2020-12-31"
"ASTI";"MOTOVEICOLO";"2504";"17901";"2020-12-31"
"CUNEO";"MOTOVEICOLO";"7944";"59365";"2020-12-31"
"NOVARA";"MOTOVEICOLO";"4660";"33373";"2020-12-31"
"ALESSANDRIA";"AUTOVEICOLO";"109097";"164975";"2020-12-31"
"VERCELLI";"MOTOVEICOLO";"2123";"15421";"2020-12-31"
"BIELLA";"MOTOVEICOLO";"2438";"17289";"2020-12-31"
"VERBANO-CUSIO-OSSOLA";"MOTOVEICOLO";"2360";"17872";"2020-12-31"
"ALESSANDRIA";"AUTOVEICOLO";"108830";"163349";"2021-12-31"
"NOVARA";"MOTOVEICOLO";"4765";"33789";"2021-12-31"
"BIELLA";"MOTOVEICOLO";"2479";"17566";"2021-12-31"
"CUNEO";"MOTOVEICOLO";"8170";"60601";"2021-12-31"
"VERBANO-CUSIO-OSSOLA";"AUTOVEICOLO";"39205";"56351";"2021-12-31"
"ALESSANDRIA";"MOTOVEICOLO";"6984";"47092";"2021-12-31"
"TORINO";"MOTOVEICOLO";"27744";"199540";"2021-12-31"
"BIELLA";"AUTOVEICOLO";"50384";"65218";"2021-12-31"
"ASTI";"MOTOVEICOLO";"2607";"18480";"2021-12-31"
"VERBANO-CUSIO-OSSOLA";"MOTOVEICOLO";"2387";"18147";"2021-12-31"
"VERCELLI";"AUTOVEICOLO";"42715";"61560";"2021-12-31"
"VERCELLI";"MOTOVEICOLO";"2159";"15652";"2021-12-31"
"NOVARA";"AUTOVEICOLO";"89730";"128715";"2021-12-31"
"TORINO";"AUTOVEICOLO";"500544";"776096";"2021-12-31"
"CUNEO";"AUTOVEICOLO";"144807";"219541";"2021-12-31"
"ASTI";"AUTOVEICOLO";"43118";"65122";"2021-12-31"
